Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2016-11-07,0.001559693,0.018194819,0.023945488,0.006735989,0.002195178,0.000661897,0.027493114,0.00347012
2016-11-08,-0.006565912,-0.014670083,-0.001245967,-0.014136577,0.001643416,0.006596369,-0.032733354,-0.015125233
2016-11-09,0.006253915,0.008060506,0.008072233,0.019917773,0.011969119,0.005899637,0.04787244,0.025464215
2016-11-10,0.000311997,0.022433989,0.001853613,-0.028934001,0.016094993,0.018777017,0.013267184,0.014747734
2016-11-11,-0.022055146,0,-0.021211096,-0.032696182,-0.021517926,0.010210692,-0.055899385,-0.027399086
2016-11-14,-0.00031886,-0.005476188,0.00440398,0.017275042,0.008124044,0.010735943,0.030877229,-0.029361843
2016-11-15,0.022374006,-0.019754229,0.0351561,0.014796338,0.01286141,0.021746702,0.096537864,0.032827807
2016-11-16,-0.00187152,-0.002452951,0.003629954,-0.000628191,-0.004268611,0.003068365,-0.035913235,-0.002308962
2016-11-17,0.008084633,0.030069464,-0.003629954,-0.013601346,0.000534159,0.001836575,0.001588539,-0.012798251
2016-11-18,0.012311374,0.003398861,0.004233422,-0.00318979,0.002669466,-0.004290546,0.001586019,-0.001171613
2016-11-21,0.012161737,0.007100725,0.022083874,0.021492739,0.013763949,0.013422922,0.061463276,0.030025244
2016-11-22,-0.001209271,0.010723973,0.018134669,-0.001251664,-0.009509035,-0.003643045,0,-0.002277841
2016-11-23,-0.008400044,-0.005012565,0.01838067,0.00093884,0.003708803,0.002430197,0.027922483,0.002277841
2016-11-24,0.002450639,0.006677903,0.015250407,-0.004074653,-0.004770689,0.001212848,-0.008733658,-0.004561029
2016-11-25,-0.00429289,0.004979136,-0.008443822,-0.021588049,-0.010684231,-0.022679445,-0.050985577,-0.014968638
2016-11-28,-0.000614961,0.013270852,-0.009085719,0.023784139,-0.030586766,-0.015620363,-0.047252885,0.008087923
2016-11-29,-0.013622358,0.001961023,-0.013785261,-0.014202517,-0.013400116,-0.03917043,-0.019544613,-0.018627148
2016-11-30,0.017305457,0.020039413,0.054036608,0.048699481,0.008396859,0.042941619,0.157903004,0.113202602
2016-12-01,-0.005837892,0.03056791,0.027561649,0.036270235,0.019321043,0.063793389,-0.007047246,0.053128066
2016-12-02,0.002154794,0.00247979,-0.007490533,0,0.037030913,0.015187095,0.045619563,0.009901262
2016-12-05,-0.003079938,-0.015286854,-0.001612421,-0.002923803,0.001053492,0.029136568,-0.006779687,0
2016-12-06,0.007681855,-0.019042161,0.004294201,-0.002932753,0.011512233,0.010641483,0.002717352,0.015640965
2016-12-07,0.001529187,0.012102001,0.005874599,-0.002352027,0.030739808,0.013282068,-0.009543317,0.021113719
2016-12-08,0.008218215,-0.0015838,0.001064104,-0.029879874,-0.003537393,0.029254164,0.024358484,0.020677488
2016-12-09,0.000908803,-0.004767158,0,0.020711982,0.011077746,-0.00857922,0.027687971,0.010180589
2016-12-12,0.009044603,-0.003190778,-0.011770868,0.001484269,-0.0351633,0.017085602,-0.021025721,0.013717548
2016-12-13,0.020790574,0.012386802,0.00268702,0.020262265,0.024085554,0.026640357,0.005297946,0.008141129
2016-12-14,-0.004714478,-0.022989193,-0.003764257,-0.020262265,-0.015820993,-0.023679305,-0.030854165,-0.007233189
2016-12-15,-0.003550114,-0.007782572,0.00858366,0.007977656,0.006665432,0.004251018,0.006788892,0.017094575
2016-12-16,0.013249018,-0.013766085,-0.001603801,0.009081709,0.018729765,0.025649122,-0.010884502,0
2016-12-19,-0.00087769,0.014417241,0.005868246,0.020494265,0.004004136,0.004640261,0.010884502,-0.002680026
2016-12-20,-0.010593876,0.002922918,-0.000531954,0.016997677,-0.001499923,0.004106789,0.006743114,0.005352434
2016-12-21,0.006487141,-0.002597702,0.006365878,0.000561456,0.002498233,0.002047187,0.00402409,-0.000890502
2016-12-22,0.010727116,0.011639336,0.009997666,-0.01499095,-0.01053421,0.000510993,-0.00806454,-0.006252042
2016-12-23,-0.001170155,0.016260451,0.00782249,0.006250154,-0.008610023,-0.006664969,-0.013587166,0
2016-12-28,-0.00616495,0.037377515,0.004219538,0.011264464,0.011648604,0.003081655,0.017627616,0.034409504
2016-12-29,0,0.002133113,-0.001053322,0.008087961,-0.00151158,0.011219216,-0.00809719,0.006914626
2016-12-30,-0.001768047,-0.023400253,0,-0.004454187,0,-0.004065383,-0.008163392,0.008576475
